anio,ipc,inflacion_pct
2014,102.6,2.6
2015,102.8,0.19
2016,103.5,0.68
2017,104.4,0.87
2018,105.2,0.77
2019,104.9,-0.29
2020,103.2,-1.62
2021,104.9,1.65
2022,107.9,2.86
2023,109.5,1.48
2024,110.3,0.73
